Impact,Lithium scenario,IAM scenario,Year,Country,Intensity,Total
Water scarcity,S&P-Baseline,SSP2-2°C,2030,AR,6.3317143400615965,1.1715571043415973
Water scarcity,S&P-Baseline,SSP2-2°C,2030,CL,6.028067827476857,1.9205002133593347
Water scarcity,S&P-Baseline,SSP2-2°C,2030,CN,10.064653837108775,1.0204753818521328
Water scarcity,S&P-Baseline,SSP2-2°C,2030,US,4.0340169855423875,0.019129308545442
Water scarcity,S&P-Baseline,SSP2-2°C,2035,World,7.221969948770514,4.779629707555404
Water scarcity,S&P-Baseline,SSP2-2°C,2035,AR,7.736500248552277,1.8795749988855275
Water scarcity,S&P-Baseline,SSP2-2°C,2035,CL,6.0197618245335,1.8639409920630794
Water scarcity,S&P-Baseline,SSP2-2°C,2035,CN,9.909191012237459,1.0047126951127805
Water scarcity,S&P-Baseline,SSP2-2°C,2035,US,4.0052307053540535,0.031401008729975775
Water scarcity,S&P-Ambitious,SSP2-NDC,2020,World,6.908680231346554,1.2220004506403472
Water scarcity,S&P-Ambitious,SSP2-NDC,2020,AR,7.55615758186075,0.23970398696936857
Water scarcity,S&P-Ambitious,SSP2-NDC,2020,CL,6.059109852988448,0.679832125505304
Water scarcity,S&P-Ambitious,SSP2-NDC,2020,CN,11.393530167228814,0.26154987851890477
Water scarcity,S&P-Ambitious,SSP2-NDC,2020,US,4.0914484582988475,0.040914484582988485
Water scarcity,S&P-Ambitious,SSP2-NDC,2025,World,7.804084262003803,4.5487946884975
Water scarcity,S&P-Ambitious,SSP2-NDC,2025,AR,6.641264640308931,1.036017360094272
Water scarcity,S&P-Ambitious,SSP2-NDC,2025,BO,32.963040985738644,0.14833368443582387
Water scarcity,S&P-Ambitious,SSP2-NDC,2025,CL,6.041991901576793,1.6471738741997666
Water scarcity,S&P-Ambitious,SSP2-NDC,2025,CN,12.458795519097066,1.6452537175516746
Water scarcity,S&P-Ambitious,SSP2-NDC,2025,US,4.068704057241055,0.07201606181316667
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,World,8.379307348423014,7.3506556179886235
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,AR,7.670671582660306,2.6001198757027812
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,BO,32.03702315450996,0.749666341815533
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,CL,6.322365506494197,2.0670784352517586
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,CN,11.716448327141059,1.7748808203973725
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,DE,4.706963543597764,0.08350529883425922
Water scarcity,S&P-Ambitious,SSP2-NDC,2030,US,4.033212523275741,0.07540494133516326
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,World,9.254022929609468,9.328992082867966
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,AR,8.440950761608974,3.608371395375651
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,BO,31.09400548571967,1.5391532715431238
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,CL,6.569043038559001,2.1353134229848734
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,CN,11.721053742751165,1.8405599994876511
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,DE,4.420103223109271,0.09802020907567116
Water scarcity,S&P-Ambitious,SSP2-NDC,2035,US,4.005879381850829,0.10757388492022218
Water scarcity,S&P-Ambitious,SSP2-2°C,2020,World,6.908680231346554,1.2220004506403472
Water scarcity,S&P-Ambitious,SSP2-2°C,2020,AR,7.55615758186075,0.23970398696936857
Water scarcity,S&P-Ambitious,SSP2-2°C,2020,CL,6.059109852988448,0.679832125505304
Water scarcity,S&P-Ambitious,SSP2-2°C,2020,CN,11.393530167228814,0.26154987851890477
Water scarcity,S&P-Ambitious,SSP2-2°C,2020,US,4.0914484582988475,0.040914484582988485
Water scarcity,S&P-Ambitious,SSP2-2°C,2025,World,7.796110785840428,4.544147159741638
Water scarcity,S&P-Ambitious,SSP2-2°C,2025,AR,6.6125094761809535,1.0315316407557997
Water scarcity,S&P-Ambitious,SSP2-2°C,2025,BO,32.92050405361794,0.1481422682412807
Water scarcity,S&P-Ambitious,SSP2-2°C,2025,CL,6.04712649593268,1.6485736724476627
Water scarcity,S&P-Ambitious,SSP2-2°C,2025,CN,12.44836544335205,1.643876367641121
Water scarcity,S&P-Ambitious,SSP2-2°C,2025,US,4.069108512880103,0.0720232206779778
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,World,8.331518797998152,7.308733635413041
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,AR,7.605257203939789,2.5779464291622665
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,BO,31.804062997791753,0.744215074148327
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,CL,6.325327990616945,2.0680470105482387
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,CN,11.617109585824803,1.7598323669956528
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,DE,4.693862011408531,0.08327286717199649
Water scarcity,S&P-Ambitious,SSP2-2°C,2030,US,4.034016985626172,0.07541998156326693
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,World,9.1345102299215,9.20851118092165
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,AR,8.22840390811771,3.5175110162577905
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,BO,30.949866811775095,1.5320184071828673
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,CL,6.570991265934746,2.1359467079309504
