Impact,Lithium scenario,Source,Variation,2035 intensity var
Water scarcity,S&P-Baseline,Heat,20.000000000000018,7.3556513766207345
Water scarcity,S&P-Baseline,Heat,30.000000000000004,7.36898735572369
Water scarcity,S&P-Baseline,Heat,40.000000000000014,7.382323334826645
Water scarcity,S&P-Baseline,Heat,50.0,7.3956593139296
Water scarcity,S&P-Baseline,Heat,60.00000000000001,7.4089952930325556
Water scarcity,S&P-Baseline,Heat,70.00000000000001,7.42233127213551
Water scarcity,S&P-Baseline,Heat,80.0,7.435667251238465
Water scarcity,S&P-Baseline,Heat,90.00000000000001,7.449003230341419
Water scarcity,S&P-Baseline,Heat,100.0,7.462339209444375
Water scarcity,S&P-Baseline,Reagents,-100.0,4.595915877637136
Water scarcity,S&P-Baseline,Reagents,-90.0,4.869222231714905
Water scarcity,S&P-Baseline,Reagents,-80.0,5.1425285857926735
Water scarcity,S&P-Baseline,Reagents,-70.0,5.415834939870442
Water scarcity,S&P-Baseline,Reagents,-60.0,5.689141293948212
Water scarcity,S&P-Baseline,Reagents,-50.0,5.962447648025981
Water scarcity,S&P-Baseline,Reagents,-39.99999999999999,6.23575400210375
Water scarcity,S&P-Baseline,Reagents,-29.999999999999993,6.50906035618152
Water scarcity,S&P-Baseline,Reagents,-19.999999999999996,6.782366710259288
Water scarcity,S&P-Baseline,Reagents,-9.999999999999998,7.055673064337058
Water scarcity,S&P-Baseline,Reagents,0.0,7.328979418414828
Water scarcity,S&P-Baseline,Reagents,10.000000000000009,7.602285772492595
Water scarcity,S&P-Baseline,Reagents,20.000000000000018,7.875592126570366
Water scarcity,S&P-Baseline,Reagents,30.000000000000004,8.148898480648134
Water scarcity,S&P-Baseline,Reagents,40.000000000000014,8.422204834725903
Water scarcity,S&P-Baseline,Reagents,50.0,8.695511188803673
Water scarcity,S&P-Baseline,Reagents,60.00000000000001,8.968817542881443
Water scarcity,S&P-Baseline,Reagents,70.00000000000001,9.242123896959212
Water scarcity,S&P-Baseline,Reagents,80.0,9.51543025103698
Water scarcity,S&P-Baseline,Reagents,90.00000000000001,9.788736605114751
Water scarcity,S&P-Baseline,Reagents,100.0,10.06204295919252
Water scarcity,S&P-Baseline,Direct emissions,-100.0,4.184703831844814
Water scarcity,S&P-Baseline,Direct emissions,-90.0,4.499131390501815
Water scarcity,S&P-Baseline,Direct emissions,-80.0,4.813558949158817
Water scarcity,S&P-Baseline,Direct emissions,-70.0,5.127986507815818
Water scarcity,S&P-Baseline,Direct emissions,-60.0,5.442414066472819
Water scarcity,S&P-Baseline,Direct emissions,-50.0,5.75684162512982
Water scarcity,S&P-Baseline,Direct emissions,-39.99999999999999,6.071269183786821
Water scarcity,S&P-Baseline,Direct emissions,-29.999999999999993,6.385696742443822
Water scarcity,S&P-Baseline,Direct emissions,-19.999999999999996,6.700124301100823
Water scarcity,S&P-Baseline,Direct emissions,-9.999999999999998,7.014551859757826
