Production scenario,Project scenario,Impact,Country,Intensity,Total,GLO intensity
Operating,2035 +ElecHeat (heat pumps),Climate change,CN,9.363438415333103,1.5615429653847055,1.8423867252517792
Operating,2035 +ElecHeat (heat pumps),Water scarcity,CN,8.34591940584353,1.391851065792377,1.642175709530773
Operating,2035 +ElecHeat (heat pumps),Climate change,US,1.3244158468371532,0.010383420239203281,0.01225088008174389
Operating,2035 +ElecHeat (heat pumps),Water scarcity,US,3.4656346062366414,0.027170575312895268,0.03205720776411641
Operating+Announced,2035 Background,Climate change,World,19.99854289060603,22.55958129135565,19.99854289060603
Operating+Announced,2035 Background,Water scarcity,World,9.918714806091524,11.188917822553112,9.918714806091524
Operating+Announced,2035 Background,Climate change,AR,23.19328628792133,12.652494308931997,11.21614124138383
Operating+Announced,2035 Background,Water scarcity,AR,11.769723593383151,6.4206666935567505,5.691771340923864
Operating+Announced,2035 Background,Climate change,BO,40.8880872373929,2.4328411906248775,2.1566569994536002
Operating+Announced,2035 Background,Water scarcity,BO,13.058420833896879,0.7769760396168643,0.6887711457306633
Operating+Announced,2035 Background,Climate change,CL,3.8011955032320803,1.2042073318374134,1.067501726380029
Operating+Announced,2035 Background,Water scarcity,CL,5.628529140934004,1.7831011462604698,1.580677597302868
Operating+Announced,2035 Background,Climate change,CN,33.357567700933934,5.878412349921308,5.21107550669018
Operating+Announced,2035 Background,Water scarcity,CN,11.996570645598043,2.114086664592531,1.8740885431465102
Operating+Announced,2035 Background,Climate change,DE,16.75293944366843,0.3715131851027911,0.32933777762758104
Operating+Announced,2035 Background,Water scarcity,DE,3.1602084739227694,0.07008078311771132,0.062124980463349244
Operating+Announced,2035 Background,Climate change,US,2.5654300196613185,0.020112971354144738,0.01782968021829022
Operating+Announced,2035 Background,Water scarcity,US,3.062060959449606,0.024006557922084913,0.021281253940851983
Operating+Announced,2035 +Optimized,Climate change,World,13.754459973489633,15.515873310769681,13.754459973489633
Operating+Announced,2035 +Optimized,Water scarcity,World,7.032054247182698,7.932587904144723,7.032054247182698
Operating+Announced,2035 +Optimized,Climate change,AR,16.560375597776936,9.034082337601665,8.00850338366083
Operating+Announced,2035 +Optimized,Water scarcity,AR,7.702976029122371,4.202158295310952,3.7251153652436444
Operating+Announced,2035 +Optimized,Climate change,BO,22.69304383926179,1.3502361084360763,1.1969528325133734
