Impact category,LCI dataset,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_boiler_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29
Water scarcity,"market for sodium hydroxide, without water, in 50% solution state (prospective)|sodium hydroxide, without water, in 50% solution state|GLO",0.6952419961469187,0.2553107427042203,0.2553107427042203,0.2553107427042203,0.255310742639809
Water scarcity,"market for electricity, medium voltage|electricity, medium voltage|CN-NWG",0.06697386493197702,0.047770647911221834,0.047770647911221834,0.047770647911221834,0.04777064787930782
Water scarcity,"treatment of spent solvent mixture, hazardous waste incineration|spent solvent mixture|RoW",-0.0735770119724651,-0.05280215352602156,-0.05280215352602156,-0.05280215352602156,-0.05280215352237367
Water scarcity,"market for steam, in chemical industry|steam, in chemical industry|RoW",0.0139630660643015,0.01172501888247977,0.01172501888247977,0.01172501888247977,0.0117250188845873
Water scarcity,"market for electricity, medium voltage|electricity, medium voltage|DE",0.09248090822535554,0.061011388441977454,0.061011388441977454,0.061011388441977454,0.061011388437206736
Water scarcity,"market for electricity, medium voltage|electricity, medium voltage|CL",0.04663411497180907,0.07384909272947415,0.07384909272947415,0.07384909272947415,0.073849092728076
Water scarcity,market for sulfuric acid|sulfuric acid|RoW,0.5606410950376332,0.5545237108092025,0.5545237108092025,0.5545237108092025,0.5545237107877818
Water scarcity,"electricity production, natural gas, conventional power plant|electricity, high voltage|AR",0.029736954591250066,0.02858471653528217,0.02858471653528217,0.02858471653528217,0.02858471653273613
Water scarcity,"machine operation, diesel, >= 74.57 kW, high load factor|machine operation, diesel, >= 74.57 kW, high load factor|GLO",5.151696997544702,5.0542140461331435,5.0542140461331435,5.0542140461331435,5.054214044825123
Water scarcity,"heat production, industrial electric boiler, Salar del Rincon|heat, central or small-scale, other than natural gas|AR",0.09978684445055822,0.1383441230597002,0.1383441230597002,0.1383441230597002,0.1383441230595313
Water scarcity,"market for limestone, crushed, washed|limestone, crushed, washed|RoW",0.0038355823286763692,0.003928451560376429,0.003928451560376429,0.003928451560376429,0.0039284515578437195
Climate change,"heat production, industrial electric boiler, Salar de Cauchari-Olaroz|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Qinghai Yiliping|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.09781205701572386,
Climate change,"heat production, industrial electric boiler, Salar de Centenario|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Zhabuye|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.09781205701572386,
Climate change,"heat production, industrial electric boiler, Salar de Arizaro|heat, central or small-scale, other than natural gas|AR",,,,0.22204518288272884,
Climate change,"heat production, industrial electric boiler, Salar de Atacama|heat, central or small-scale, other than natural gas|CL",,,,0.012899047221223621,
Climate change,"heat production, industrial electric boiler, Salar de Uyuni|heat, central or small-scale, other than natural gas|BO",,,,0.028025090320411637,
Climate change,"heat production, industrial electric boiler, Salar de Tolillar|heat, central or small-scale, other than natural gas|AR",,,,0.19129974311403133,
Climate change,"heat production, industrial electric boiler, Sal de los Angeles|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Salar de Olaroz|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Silver Peak|heat, central or small-scale, other than natural gas|US-WECC",,,,0.003024217130996684,
Climate change,"heat production, industrial electric boiler, Chaerhan|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.09781205701572386,
Climate change,"heat production, industrial electric boiler, Fenix|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Salar del Hombre Muerto North|heat, central or small-scale, other than natural gas|AR",,,,0.1993943343101398,
Climate change,"heat production, industrial electric boiler, Maricunga|heat, central or small-scale, other than natural gas|CL",,,,0.012899047221223621,
Climate change,"heat production, industrial electric boiler, Salar de Pastos Grandes|heat, central or small-scale, other than natural gas|AR",,,,0.19129974311403133,
Climate change,"heat production, industrial electric boiler, Tres Quebradas|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Pozuelos|heat, central or small-scale, other than natural gas|AR",,,,0.11096623010893013,
Climate change,"heat production, industrial electric boiler, Kachi|heat, central or small-scale, other than natural gas|AR",,,,0.03803737048108524,
Climate change,"heat production, industrial electric boiler, Sal de Vida|heat, central or small-scale, other than natural gas|AR",,,,0.22204518288272884,
Climate change,"heat production, industrial electric boiler, Lakkor Tso|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.09781205701572386,
Climate change,"heat production, industrial electric boiler, East Taijinar|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.09781205701572386,
Climate change,"heat production, industrial electric boiler, Upper Rhine Graben|heat, central or small-scale, other than natural gas|DE",,,,0.008322072626964732,
Water scarcity,"heat production, industrial electric boiler, Salar de Cauchari-Olaroz|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Qinghai Yiliping|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.013403661324085641,
Water scarcity,"heat production, industrial electric boiler, Salar de Centenario|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Zhabuye|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.013403661324085641,
Water scarcity,"heat production, industrial electric boiler, Salar de Arizaro|heat, central or small-scale, other than natural gas|AR",,,,0.004855256272297786,
Water scarcity,"heat production, industrial electric boiler, Salar de Atacama|heat, central or small-scale, other than natural gas|CL",,,,0.02072084577702491,
Water scarcity,"heat production, industrial electric boiler, Salar de Uyuni|heat, central or small-scale, other than natural gas|BO",,,,0.006633622461594184,
Water scarcity,"heat production, industrial electric boiler, Salar de Tolillar|heat, central or small-scale, other than natural gas|AR",,,,0.008020403243963144,
Water scarcity,"heat production, industrial electric boiler, Sal de los Angeles|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Salar de Olaroz|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Silver Peak|heat, central or small-scale, other than natural gas|US-WECC",,,,0.010816886656574834,
Water scarcity,"heat production, industrial electric boiler, Chaerhan|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.013403661324085641,
Water scarcity,"heat production, industrial electric boiler, Fenix|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Salar del Hombre Muerto North|heat, central or small-scale, other than natural gas|AR",,,,0.01813133678553415,
Water scarcity,"heat production, industrial electric boiler, Maricunga|heat, central or small-scale, other than natural gas|CL",,,,0.02072084577702491,
Water scarcity,"heat production, industrial electric boiler, Salar de Pastos Grandes|heat, central or small-scale, other than natural gas|AR",,,,0.008020403243963144,
Water scarcity,"heat production, industrial electric boiler, Tres Quebradas|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Pozuelos|heat, central or small-scale, other than natural gas|AR",,,,0.004646543645220999,
