Scenario,LCI flow,Units,Reference flow,Chaerhan,East Taijinar,Fenix,Kachi,Lakkor Tso,Maricunga,Pozuelos,Qinghai Yiliping,Sal de Vida,Sal de los Angeles,Salar de Arizaro,Salar de Atacama,Salar de Cauchari-Olaroz,Salar de Centenario,Salar de Olaroz,Salar de Pastos Grandes,Salar de Tolillar,Salar de Uyuni,Salar del Hombre Muerto North,Salar del Rincon,Silver Peak,Tres Quebradas,Upper Rhine Graben,Zhabuye
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Tres Quebradas', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,,,18.293302097862934,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Upper Rhine Graben', 'heat, central or small-scale, other than natural gas', 'DE')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,,,,11.555794266155653,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Zhabuye', 'heat, central or small-scale, other than natural gas', 'CN-NWG')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,,,,,9.898535132951258
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, industrial electric boiler, Salar del Rincon', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,0.3473684210526317,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, light fuel oil, at industrial furnace 1MW', 'heat, district or industrial, other than natural gas', 'LAM')",megajoule,1 kg Li2CO3,,,,,,0.3473684210526316,,,0.3473684210526317,,0.3473684210526317,,,,,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, natural gas, at industrial furnace >100kW', 'heat, district or industrial, natural gas', 'CHA')",megajoule,1 kg Li2CO3,0.3473684210526317,0.3473684210526316,,,0.3473684210526317,,,0.3473684210526317,,,,,,,,,,,,,,,,0.3473684210526317
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, natural gas, at industrial furnace >100kW', 'heat, district or industrial, natural gas', 'EUR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,,,,0.3473684210526317,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, natural gas, at industrial furnace >100kW', 'heat, district or industrial, natural gas', 'LAM')",megajoule,1 kg Li2CO3,,,0.3473684210526316,0.3473684210526317,,,,,,0.3473684210526317,,0.3473684210526317,0.3473684210526317,0.3473684210526317,0.3473684210526316,0.3473684210526316,0.3473684210526317,0.3473684210526317,,,,0.3473684210526317,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, propane, at industrial furnace >100kW', 'heat, district or industrial, other than natural gas', 'RoW')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,,0.3473684210526317,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('machine operation, diesel, >= 74.57 kW, high load factor', 'machine operation, diesel, >= 74.57 kW, high load factor', 'GLO')",hour,1 kg Li2CO3,0.0,0.0,0.0,0.0,0.0,0.0007160924429540146,0.0,0.0,0.00016454831130604874,0.0,0.0,0.0006014586872586867,0.001527053180661018,0.0,0.001218828473431741,0.0019848211847261,0.0,0.0,0.0016630066941520011,0.0,0.0009979507839613178,0.001037942506078098,,0.001076559111801268
