scenario,project,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,#13,0.0,0.02670524936378802,0.026743123580709745,0.02868969368122698,0.023231697727451442,0.018771294295037533,0.016307422688948074,0.015530101892679836,0.014925334255102443,0.013311896870676344,0.011905601450735442,0.011213139797750732,0.01050639104522977,0.010120460130884077,0.009573135275216247,0.009134641514356215
S&P-Ambitious,#11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00818558258210531,0.012587231861215546,0.019646805271477365,0.017571277453153334,0.016549284916227622,0.01550620628877628,0.014936617326658084,0.021723341554814275,0.03280605916405083
S&P-Ambitious,#3,0.0,0.0,0.008398167183993764,0.0075866547707919875,0.006143351419359911,0.004963849771270766,0.00431230767107787,0.0041067542555214285,0.0039468305095997575,0.00422421098075196,0.011333870642756396,0.021349324768300523,0.02667160832298651,0.032114851272109404,0.030378047202928648,0.028986592493197207
S&P-Ambitious,#24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Ambitious,#18,0.6343319444365922,0.663717803648659,0.6903293425242875,0.6630736269672197,0.6108948651411497,0.5575018810508708,0.4809223508631515,0.4544008594615306,0.4552163798518091,0.42120874952372017,0.3876750453354826,0.3630025690354138,0.3384638209357123,0.32453984101542876,0.30527507195167053,0.2902350208763855
S&P-Ambitious,#4,0.06740200928318228,0.056402595834321015,0.04321024979508471,0.050687957854615426,0.05762463631359597,0.07313934806981198,0.0733092304083238,0.06981482234386428,0.06709611866319587,0.0598429888939861,0.05352105581301632,0.03295149670627362,0.0308746092678838,0.029740493268058114,0.028132096913058787,0.02684351708820016
S&P-Ambitious,#10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Ambitious,#2,0.1119465849535558,0.08401576106159069,0.07083686056355061,0.06733914774554968,0.06052184084296611,0.06786773961272242,0.05895959540204507,0.05614918688319118,0.06214205700754626,0.06194523789207366,0.08164290751561555,0.09337245794776058,0.08748732056744958,0.09542713956498829,0.11488471151360899,0.10962246171052296
S&P-Ambitious,#8,0.0,0.0,0.0,0.0,0.0,0.00395122441793153,0.005148895359266977,0.004903464581092585,0.007855771446307357,0.036328214434466856,0.03777956880918799,0.04412193785448775,0.058614193240803227,0.056461120021495545,0.05340764478746886,0.05096132826229001
S&P-Ambitious,#5,0.05653582392482996,0.022362459691666406,0.01679633436798753,0.015173309541583975,0.012286702838719823,0.006665457472862386,0.005863013509597472,0.0055457609466561366,0.005553979893108778,0.005152129326190473,0.004499546645174289,0.0054950789806409075,0.0058499727588417075,0.007013883517828693,0.007938796335698686,0.007575162838222203
S&P-Ambitious,#23,0.0,0.0,0.0,0.0,0.0,0.011516131469348177,0.030898546924807153,0.032694691979057194,0.031421507053025585,0.02802482371663542,0.025064225266975618,0.023606422825749183,0.028786444599596644,0.03415200333780354,0.04445624687833921,0.048217264172934
S&P-Ambitious,#22,0.0,0.0,0.0,0.0,0.005071950931823543,0.006850112684353658,0.01293692301323361,0.018973204660509002,0.021707567802798665,0.024218809622977903,0.03198670159177916,0.046256870331317805,0.061122435740177415,0.06369445502301699,0.06024979361914182,0.0574900751115078
S&P-Ambitious,#20,0.0,0.0,0.0,0.0,0.0,0.0,0.038251893965529145,0.03642855294817728,0.014003986140941475,0.02498029405577479,0.027926657263751764,0.026302368114546247,0.024644566090439537,0.02373929806034327,0.022455452492404857,0.021426889170971377
S&P-Ambitious,#19,0.0,0.0,0.0,0.0,0.002948808681292758,0.011009421684696858,0.015986586998219882,0.01522455937606904,0.01463169006518822,0.013049995789869722,0.011671368124118477,0.010992530108478293,0.010299686080726624,0.009921348052996999,0.009384791382558091,0.008954924640898391
S&P-Baseline,#7,0.0,0.0,0.0,0.018745782199005225,0.0642345217562831,0.06948727257055123,0.07363218314262142,0.07100729989506596,0.07141780294504907,0.06878607633894641,0.06457638233323004,0.06199531776647499,0.05938996251842018,0.05768384666262204,0.06091290473384848,0.08825987143762677
