Project name,Impact,SA scenario,Total
Salar del Rincon,Climate change,2035_BAT_Fuel mix_0CCS,16.73275822038307
Salar del Hombre Muerto North,Climate change,2035_BAT_Fuel mix_0CCS,9.020881752452985
Zhabuye,Climate change,2035_BAT_Fuel mix_0CCS,3.055779781517499
Salar de Atacama,Climate change,2035_BAT_Fuel mix_0CCS,3.0294365731766515
Chaerhan,Climate change,2035_BAT_Fuel mix_0CCS,23.391032970155518
Sal de los Angeles,Climate change,2035_BAT_Fuel mix_0CCS,29.386180970778987
Sal de Vida,Climate change,2035_BAT_Fuel mix_0CCS,3.47631825405021
Pozuelos,Climate change,2035_BAT_Fuel mix_0CCS,20.44301343505851
Lakkor Tso,Climate change,2035_BAT_Fuel mix_0CCS,30.436786265572213
Salar de Uyuni,Climate change,2035_BAT_Fuel mix_0CCS,22.954296998243176
Qinghai Yiliping,Climate change,2035_BAT_Fuel mix_0CCS,22.46386110606474
Salar de Centenario,Climate change,2035_BAT_Fuel mix_0CCS,21.47725035232574
Salar de Olaroz,Climate change,2035_BAT_Fuel mix_0CCS,2.9833747435809346
Kachi,Climate change,2035_BAT_Fuel mix_0CCS,30.082322896599255
Fenix,Climate change,2035_BAT_Fuel mix_0CCS,21.932042138583316
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Fuel mix_0CCS,6.937126740608023
Salar de Tolillar,Climate change,2035_BAT_Fuel mix_0CCS,30.302842471443263
Maricunga,Water scarcity,2035_BAT_Fuel mix_0CCS,15.826959364153248
Tres Quebradas,Water scarcity,2035_BAT_Fuel mix_0CCS,7.447967775910503
Salar de Pastos Grandes,Water scarcity,2035_BAT_Fuel mix_0CCS,10.142912609049425
Salar de Arizaro,Water scarcity,2035_BAT_Fuel mix_0CCS,8.231294044680864
Upper Rhine Graben,Water scarcity,2035_BAT_Fuel mix_0CCS,0.9045495469075152
East Taijinar,Water scarcity,2035_BAT_Fuel mix_0CCS,6.582535924380943
Silver Peak,Water scarcity,2035_BAT_Fuel mix_0CCS,3.463765996985899
Salar del Rincon,Water scarcity,2035_BAT_Fuel mix_0CCS,35.32764973074676
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Fuel mix_0CCS,1.580291549207392
Zhabuye,Water scarcity,2035_BAT_Fuel mix_0CCS,3.354948970537847
Salar de Atacama,Water scarcity,2035_BAT_Fuel mix_0CCS,5.4278675002736945
Chaerhan,Water scarcity,2035_BAT_Fuel mix_0CCS,6.889012397890568
Sal de los Angeles,Water scarcity,2035_BAT_Fuel mix_0CCS,4.732181122785157
Sal de Vida,Water scarcity,2035_BAT_Fuel mix_0CCS,0.43623777785436757
Pozuelos,Water scarcity,2035_BAT_Fuel mix_0CCS,15.563088300125123
Lakkor Tso,Water scarcity,2035_BAT_Fuel mix_0CCS,10.38242485258764
Salar de Uyuni,Water scarcity,2035_BAT_Fuel mix_0CCS,6.744222355859414
Qinghai Yiliping,Water scarcity,2035_BAT_Fuel mix_0CCS,9.287284943357983
Salar de Centenario,Water scarcity,2035_BAT_Fuel mix_0CCS,4.013201038022429
Salar de Olaroz,Water scarcity,2035_BAT_Fuel mix_0CCS,1.9126175906118532
Kachi,Water scarcity,2035_BAT_Fuel mix_0CCS,5.478395701748358
Fenix,Water scarcity,2035_BAT_Fuel mix_0CCS,3.70673989226629
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Fuel mix_0CCS,1.5388050764790595
Salar de Tolillar,Water scarcity,2035_BAT_Fuel mix_0CCS,3.362317375567173
Maricunga,Climate change,2035_BAT_Biomass_0CCS,4.764480162447667
Tres Quebradas,Climate change,2035_BAT_Biomass_0CCS,3.8275105203044992
Salar de Pastos Grandes,Climate change,2035_BAT_Biomass_0CCS,10.45405165859628
Salar de Arizaro,Climate change,2035_BAT_Biomass_0CCS,37.64489002803209
